Pos;P+;Artist and Title;Days;Pk;(x?);Pts;Pts+;TPts;US;UK;DE;AU;JP
181;-27;Tani Yuuki - Mouichido;9;109;;1104;-291;0.013;;;;;20
182;NEW;Kany García - Confieso;1;182;;1094;1094;0.080;;;;;
183;-72;Rihanna - We Found Love;702;1;(x76);1092;-632;8.585;;;;;
184;-89;Bruno Mars - When I Was Your Man;579;3;(x5);1084;-809;6.721;;;;;
185;NEW;Bad Bunny - Tití Me Preguntó;122;47;;1082;171;0.243;82;;;;
186;NEW;Chris Stapleton - Tennessee Whiskey;530;8;;1070;585;2.210;75;;;61;
187;NEW;Lee Brice - Soul;51;107;;1067;241;0.206;46;;;;
188;NEW;Steve Lacy - Bad Habit;4;116;;1062;282;0.020;22;;;;
189;NEW;Riko Azuna - ___;13;86;;1062;781;0.037;;;;;22
190;NEW;Harry Styles - Sign of the Times;538;1;(x2);1057;668;4.060;;84;;;
191;-3;Rex Orange County - THE SHADE;13;149;;1056;-148;0.065;;;;;
192;49;Fujii Kaze - Shinunoga E-Wa;2;191;;1043;82;0.040;;;;;
193;-55;Smart Falcon (CV: Hitomi Ohwada) - Tachiichi Zeroban Juni wa Ichiban;2;138;;1041;-438;0.003;;;;;23
194;NEW;Michael Patrick Kelly & Rea Garvey - Best Bad Friend;25;29;;1036;256;0.098;;;62;;
195;-82;KC and the Sunshine Band - Please Don't Go;5;57;;1031;-669;0.010;91;91;;86;
196;-86;Eminem - Love the Way You Lie;626;1;(x65);1030;-704;5.991;;;;;
197;NEW;Jun Maeda & yanaginagi - Particle Effect;8;113;;1021;352;0.011;;;;;24
198;23;Tiziano Ferro - La Vita Splendida;3;149;;1016;-20;0.019;;;;;
199;NEW;BLACKPINK - Typa Girl;12;7;;1005;251;0.044;;;;;
